"ID","job","relation"
1,"エンジニア","依頼を受けてデータの抽出・加工, BIツールでダッシュボード作成, データウェアハウスやデータマートの設計, データウェアハウスやデータマートの作成"
2,"コンサルタント","依頼を受けてデータの抽出・加工, BIツールでダッシュボード作成, 社内のデータ管理, 分析やレポーティング、意思決定者への助言, データを利用した意思決定や判断"
3,"なし","依頼を受けてデータの抽出・加工, BIツールでダッシュボード作成, データウェアハウスやデータマートの設計, データウェアハウスやデータマートの作成, 社内のデータ管理, 分析やレポーティング、意思決定者への助言"
4,"財務","データを利用した意思決定や判断"
5,"リレーション&分析","依頼を受けてデータの抽出・加工, BIツールでダッシュボード作成, 分析やレポーティング、意思決定者への助言"
6,"UXデザイン室","依頼を受けてデータの抽出・加工, BIツールでダッシュボード作成, 分析やレポーティング、意思決定者への助言"
7,"ICTコンサルタント","データウェアハウスやデータマートの設計, 社内のデータ管理, 分析やレポーティング、意思決定者への助言, データを利用した意思決定や判断"
8,"データアナリスト","依頼を受けてデータの抽出・加工, BIツールでダッシュボード作成, データウェアハウスやデータマートの設計, データウェアハウスやデータマートの作成, 社内のデータ管理, 分析やレポーティング、意思決定者への助言, データを利用した意思決定や判断"
9,"企画","分析やレポーティング、意思決定者への助言"
10,"企画","BIツールでダッシュボード作成, データウェアハウスやデータマートの設計, データウェアハウスやデータマートの作成, 分析やレポーティング、意思決定者への助言, データを利用した意思決定や判断"
11,"データエンジニア","データウェアハウスやデータマートの設計, データウェアハウスやデータマートの作成, 社内のデータ管理"
12,"ITマネージャー","分析やレポーティング、意思決定者への助言, データを利用した意思決定や判断"
13,"エンジニア","依頼を受けてデータの抽出・加工"
14,"CRM","依頼を受けてデータの抽出・加工, BIツールでダッシュボード作成, データウェアハウスやデータマートの設計, 社内のデータ管理"
15,"エンジニア","依頼を受けてデータの抽出・加工, BIツールでダッシュボード作成, データウェアハウスやデータマートの設計, データウェアハウスやデータマートの作成, 社内のデータ管理"
16,"バックエンドエンジニア","依頼を受けてデータの抽出・加工"
17,"ソフト開発職","BIツールでダッシュボード作成"
18,"システムエンジニア","依頼を受けてデータの抽出・加工, データウェアハウスやデータマートの設計, データウェアハウスやデータマートの作成"
19,"ソフトウェア開発","依頼を受けてデータの抽出・加工, BIツールでダッシュボード作成, データウェアハウスやデータマートの設計, データウェアハウスやデータマートの作成, 分析やレポーティング、意思決定者への助言"
20,"データプランナー","依頼を受けてデータの抽出・加工, 社内のデータ管理, 分析やレポーティング、意思決定者への助言, データを利用した意思決定や判断"
21,"エンジニア","依頼を受けてデータの抽出・加工, BIツールでダッシュボード作成, データウェアハウスやデータマートの設計, データウェアハウスやデータマートの作成, 社内のデータ管理, 分析やレポーティング、意思決定者への助言, データを利用した意思決定や判断"
