day,type_name,sub_type_name,shop_name,service,use
20161223,cocktail0,base55,user_type11,0,116.0
20150105,cocktail0,base5,user_type45,1,394.0
20150407,cocktail0,base5,user_type16,0,980.0
20150427,cocktail0,base5,user_type45,1,117.0
20150519,cocktail0,base5,user_type16,0,495.0
20150615,cocktail0,base5,user_type10,1,215.0
20150616,cocktail0,base5,user_type45,1,21.0
20150917,cocktail0,base5,user_type28,1,1940.0
20151012,cocktail0,base5,user_type14,0,1663.0
20151013,cocktail0,base5,user_type28,1,226.0
20151016,cocktail0,base5,user_type28,1,427.0
20151029,cocktail0,base5,user_type14,0,3096.0
20151102,cocktail0,base5,user_type17,0,931.0
20151106,cocktail0,base5,user_type28,1,226.0
20151110,cocktail0,base5,user_type28,1,168.0
20151125,cocktail0,base5,user_type34,0,169.0
20151127,cocktail0,base5,user_type1,1,1513.0
20151210,cocktail0,base5,user_type34,0,218.0
20151221,cocktail0,base5,user_type17,0,388.0
20160104,cocktail0,base5,user_type45,1,408.0
20160215,cocktail0,base5,user_type14,0,16.0
20160725,cocktail0,base5,user_type2,0,17.0
20161104,cocktail0,base5,user_type42,1,2787.0
20161107,cocktail0,base5,user_type23,1,948.0
20161108,cocktail0,base5,user_type28,1,1002.0
20161117,cocktail0,base5,user_type28,1,223.0
20161118,cocktail0,base5,user_type2,0,15.0
20161128,cocktail0,base5,user_type35,0,764.0
20161207,cocktail0,base5,user_type23,1,418.0
20161223,cocktail0,base5,user_type11,0,221.0
20171101,cocktail0,base5,user_type23,1,279.0
20171108,cocktail0,base5,user_type42,1,4403.0
20171121,cocktail0,base5,user_type17,0,185.0
20171124,cocktail0,base5,user_type24,1,147.0
20180322,cocktail0,base5,user_type23,1,12.0
20180615,cocktail0,base5,user_type45,1,394.0
20181226,cocktail0,base5,user_type12,0,13.0
20150302,cocktail0,base52,user_type10,1,36.0
20150303,cocktail0,base52,user_type10,1,459.0
20150303,cocktail0,base52,user_type4,1,1735.0
20150306,cocktail0,base52,user_type10,1,169.0
20150527,cocktail0,base52,user_type2,0,106.0
20150723,cocktail0,base52,user_type4,1,587.0
